medalist_name,medal,gender,sport,medalist_id,sport_id
Bair Badënov,Bronze,male,archery,1,1
Ilario Di Buò,Silver,male,archery,2,1
Im Dong-hyun,Gold,male,archery,3,1
Jiang Lin,Bronze,male,archery,4,1
Lee Chang-hwan,Gold,male,archery,5,1
Li Wenquan,Bronze,male,archery,6,1
Marco Galiazzo,Silver,male,archery,7,1
Mauro Nespoli,Silver,male,archery,8,1
Park Kyung-mo,Silver,male,archery,9,1
Viktor Ruban,Gold,male,archery,10,1
Xue Haifeng,Bronze,male,archery,11,1
Bérengère Schuh,Bronze,female,archery,12,1
Chen Ling,Silver,female,archery,13,1
Guo Dan,Silver,female,archery,14,1
Joo Hyun-Jung,Gold,female,archery,15,1
Park Sung-hyun,Silver,female,archery,16,1
Sophie Dodemont,Bronze,female,archery,17,1
Virginie Arnold,Bronze,female,archery,18,1
Yun Ok-hee,Bronze,female,archery,19,1
Zhang Juanjuan,Gold,female,archery,20,1
Aaron Armstrong,Gold,male,athletics,21,2
Ainārs Kovals,Silver,male,athletics,22,2
Alex Schwazer,Gold,male,athletics,23,2
Alfred Kirwa Yego,Bronze,male,athletics,24,2
Andrae Williams,Silver,male,athletics,25,2
Andreas Thorkildsen,Gold,male,athletics,26,2
Andrei Krauchanka,Silver,male,athletics,27,2
Andretti Bain,Silver,male,athletics,28,2
Andrew Steele,Bronze,male,athletics,29,2
Andrey Silnov,Gold,male,athletics,30,2
Angelo Taylor,Gold,male,athletics,31,2
Asbel Kiprop,Gold,male,athletics,32,2
Avard Moncur,Silver,male,athletics,33,2
Bershawn Jackson,Bronze,male,athletics,34,2
Brimin Kipruto,Gold,male,athletics,35,2
Bruno de Barros,Bronze,male,athletics,36,2
Bryan Clay,Gold,male,athletics,37,2
Chris Brown,Silver,male,athletics,38,2
Christian Cantwell,Silver,male,athletics,39,2
David Neville,Bronze,male,athletics,40,2
David Oliver,Bronze,male,athletics,41,2
David Payne,Silver,male,athletics,42,2
Dayron Robles,Gold,male,athletics,43,2
Denis Nizhegorodov,Bronze,male,athletics,44,2
Derek Miles,Bronze,male,athletics,45,2
Dylan Armstrong,Bronze,male,athletics,46,2
Edwin Soi,Bronze,male,athletics,47,2
Eliud Kipchoge,Silver,male,athletics,48,2
Emmanuel Callender,Gold,male,athletics,49,2
Gerd Kanter,Gold,male,athletics,50,2
Germaine Mason,Silver,male,athletics,51,2
Godfrey Khotso Mokoena,Silver,male,athletics,52,2
Ibrahim Camejo,Bronze,male,athletics,53,2
Irving Saladino,Gold,male,athletics,54,2
Ismail Ahmed Ismail,Silver,male,athletics,55,2
Ivan Tsikhan,Bronze,male,athletics,56,2
Jaouad Gharib,Silver,male,athletics,57,2
Jared Tallent,Bronze,male,athletics,58,2
Jefferson Pérez,Silver,male,athletics,59,2
Jeremy Wariner,Silver,male,athletics,60,2
José Carlos Moreira,Bronze,male,athletics,61,2
Kenenisa Bekele,Gold,male,athletics,62,2
Kerron Clement,Silver,male,athletics,63,2
Keston Bledman,Gold,male,athletics,64,2
LaShawn Merritt,Gold,male,athletics,65,2
Leevan Sands,Bronze,male,athletics,66,2
Leonel Suárez,Bronze,male,athletics,67,2
Mahiedine Mekhissi-Benabbad,Silver,male,athletics,68,2
Marc Burns,Gold,male,athletics,69,2
Martyn Rooney,Bronze,male,athletics,70,2
Mehdi Baala,Bronze,male,athletics,71,2
Micah Kogo,Bronze,male,athletics,72,2
Michael Bingham,Bronze,male,athletics,73,2
Michael Mathieu,Silver,male,athletics,74,2
Naoki Tsukahara,Silver,male,athletics,75,2
Nelson Évora,Gold,male,athletics,76,2
Nick Willis,Silver,male,athletics,77,2
Nobuharu Asahara,Silver,male,athletics,78,2
Phillips Idowu,Silver,male,athletics,79,2
Piotr Małachowski,Silver,male,athletics,80,2
Primož Kozmus,Gold,male,athletics,81,2
Ramon Miller,Silver,male,athletics,82,2
Reggie Witherspoon,Gold,male,athletics,83,2
Richard Mateelong,Bronze,male,athletics,84,2
Richard Thompson,Silver,male,athletics,85,2
Robert Tobin,Bronze,male,athletics,86,2
Samuel Wanjiru,Gold,male,athletics,87,2
Sandro Viana,Bronze,male,athletics,88,2
Shawn Crawford,Silver,male,athletics,89,2
Shingo Suetsugu,Silver,male,athletics,90,2
Shinji Takahira,Silver,male,athletics,91,2
Sileshi Sihine,Silver,male,athletics,92,2
Steve Hooker,Gold,male,athletics,93,2
Tero Pitkämäki,Bronze,male,athletics,94,2
Tomasz Majewski,Gold,male,athletics,95,2
Tsegaye Kebede,Bronze,male,athletics,96,2
Usain Bolt,Gold,male,athletics,97,2
